Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
hot tub won't heat past 95,2,2,110,14,0.00,https://thewaterhobby.com/hot-tub-wont-heat/,14,12.17,0.00,0.06,54900000,"[33,23,23,42,66,52,52,100,80,80,52,42]",2023-08-01,"Sitelinks, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
pentair screenlogic not connecting locally,1,1,50,12,1.44,https://thewaterhobby.com/pentair-screenlogic-will-not-connect-locally-remotely/,12,10.43,17.00,0.05,40,"[33,33,9,9,19,23,9,19,19,33,52,66]",2023-08-14,"Sitelinks, Video Carousel, People also ask, Indented, Related searches",informational,Organic
pentair screenlogic app not connecting,1,1,50,9,0.00,https://thewaterhobby.com/pentair-screenlogic-will-not-connect-locally-remotely/,12,10.43,0.00,0,63,"[28,64,35,14,50,28,35,50,50,14,64,50]",2023-08-15,"Sitelinks, Reviews, Video Carousel, People also ask, Indented, Related searches",informational,Organic
mustard algae or sand,2,2,320,24,0.00,https://thewaterhobby.com/mustard-algae-or-sand-heres-how-to-know/,11,9.56,0.00,1,1430000,"[55,45,20,6,1,1,1,3,5,20,67,100]",2023-08-14,"Sitelinks, Reviews, Featured snippet, Ads bottom, Video Carousel, People also ask, Indented, Related searches",informational,Organic
hot tub won t heat past 95,1,1,40,5,0.00,https://thewaterhobby.com/hot-tub-wont-heat/,9,7.82,0.00,0.06,32200000,"[33,33,19,33,42,42,9,9,0,4,0,0]",2023-07-27,"Sitelinks, People also ask, Indented, Related searches",informational,Organic
stonescapes mini pebble reviews,1,1,30,19,0.00,https://thewaterhobby.com/stonescapes-mini-pebble-review/,7,6.08,0.00,0.02,57,"[19,26,19,15,15,7,7,7,7,7,7,7]",2023-08-13,"Sitelinks, Reviews, Video Carousel, People also ask, Indented, Related searches",commercial,Organic
pool umbrella sleeve too big,1,1,30,30,0.29,https://thewaterhobby.com/pool-umbrella-sleeve-too-big-or-small/,7,6.08,2.00,1,92,"[100,18,18,18,18,18,18,18,18,18,18,18]",2023-07-31,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
mustard algae pictures,1,1,50,8,0.00,https://thewaterhobby.com/mustard-algae-or-sand-heres-how-to-know/,6,5.21,0.00,0.02,648000,"[100,100,100,18,18,0,18,18,18,18,18,100]",2023-08-03,"Image pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
pentair globrite problems,3,0,70,5,0.71,https://thewaterhobby.com/pentair-globrite-problems-top-10-issues-and-complaints/,5,4.34,3.00,0.27,41,"[78,78,78,35,28,28,64,35,50,64,50,14]",2023-08-15,"Sitelinks, Reviews, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
pentair vs polaris pool cleaner,1,1,20,0,1.38,https://thewaterhobby.com/polaris-vs-pentair-cleaner/,4,3.47,5.00,1,88,"[14,14,9,0,9,9,9,9,9,9,9,9]",2023-08-02,"Sitelinks, Reviews, Ads bottom, People also ask, Indented, Related searches",commercial,Organic
best pool phosphate remover,4,4,70,10,0.46,https://thewaterhobby.com/best-phosphate-remover/,4,3.47,1.00,1,966000,"[66,52,23,14,0,0,4,9,14,23,66,80]",2023-08-07,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Popular products, Related searches",commercial,Organic
